# slug: sight-and-sound-2022
# name: The Greatest Films of All Time
# curator: Sight & Sound
# published: 2022
# source: https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time
# ordered: true
=129	Raging Bull	Martin Scorsese
=129	Pulp Fiction	Quentin Tarantino
=133	Lawrence of Arabia	David Lean
=133	Notorious	Alfred Hitchcock
=133	It's a Wonderful Life	Frank Capra
=136	La ciénaga	Lucrecia Martel
=136	Les Enfants du paradis	Marcel Carné
=136	The Wild Bunch	Sam Peckinpah
=136	Sambizanga	Sarah Maldoror
=136	Trouble in Paradise	Ernst Lubitsch
=136	The Seventh Seal	Ingmar Bergman
=136	Pickpocket	Robert Bresson
=136	Partie de campagne	Jean Renoir
=136	All That Heaven Allows	Douglas Sirk
=136	Gertrud	Carl Th. Dreyer
=146	The Watermelon Woman	Cheryl Dunye
=146	Vampyr	Carl Th. Dreyer
=146	Alien	Ridley Scott
=146	India Song	Marguerite Duras
=146	La Grande Illusion	Jean Renoir
=146	Chinatown	Roman Polanski
=152	Twin Peaks: The Return	David Lynch
=152	West Indies: The Fugitive Slaves of Liberty	Med Hondo
=152	Days of Heaven	Terrence Malick
=152	Meghe Dhaka Tara	Ritwik Ghatak
=152	Le Bonheur	Agnès Varda
=157	West of the Tracks	Wang Bing
=157	Orlando	Sally Potter
=157	A City of Sadness	Hou Hsiao-Hsien
=157	All about My Mother	Pedro Almodóvar
=157	Where Is the Friend's House?	Abbas Kiarostami
=157	The Gospel According to St. Matthew	Pier Paolo Pasolini
=157	Once upon a Time in America	Sergio Leone
=157	Amarcord	Federico Fellini
=157	Vivre sa vie	Jean-Luc Godard
=157	Out of the Past	Jacques Tourneur
=157	Ikiru	Akira Kurosawa
=157	Los olvidados	Luis Buñuel
=169	Last Year at Marienbad	Alain Resnais
=169	L'Argent	Robert Bresson
=169	Un chien andalou	Luis Buñuel
=169	Out 1	Jacques Rivette
=169	Symbiopsychotaxiplasm: Take One	William Greaves
=169	Heat	Michael Mann
=169	Under the Skin	Jonathan Glazer
=169	The Exterminating Angel	Luis Buñuel
=169	Memories of Underdevelopment	Tomás Gutiérrez Alea
=169	Black Narcissus	Michael Powell, Emeric Pressburger
=169	Red Desert	Michelangelo Antonioni
=169	The Good, the Bad and the Ugly	Sergio Leone
=169	Charulata	Satyajit Ray
=169	Letter from an Unknown Woman	Max Ophuls
=169	Hiroshima mon amour	Alain Resnais
=169	The Magnificent Ambersons	Orson Welles
=185	Magnolia	Paul Thomas Anderson
=185	Wings of Desire	Wim Wenders
=185	Pyaasa	Guru Dutt
=185	Ran	Akira Kurosawa
=185	Greed	Erich von Stroheim
=185	Love Streams	John Cassavetes
=185	An Autumn Afternoon	Yasujirō Ozu
=185	The River	Jean Renoir
=185	The Birds	Alfred Hitchcock
=185	Les Demoiselles de Rochefort	Jacques Demy
=185	Paris, Texas	Wim Wenders
=196	Paris Is Burning	Jennie Livingston
=196	The Headless Woman	Lucrecia Martel
=196	Uncle Boonmee Who Can Recall His Past Lives	Apichatpong Weerasethakul
=196	The Tree of Life	Terrence Malick
=196	Mad Max: Fury Road	George Miller
=196	Zama	Lucrecia Martel
=196	Paisan	Roberto Rossellini
=196	Nosferatu	F.W. Murnau
=196	One Way or Another	Sara Gómez
=196	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	Stanley Kubrick
=196	Double Indemnity	Billy Wilder
=196	L' eclisse	Michelangelo Antonioni
=196	I Know Where I’m Going!	Michael Powell, Emeric Pressburger
=196	Wavelength	Michael Snow
=196	The Life and Death of Colonel Blimp	Michael Powell, Emeric Pressburger
=211	Limite	Mário Peixoto
=211	Raiders of the Lost Ark	Steven Spielberg
=211	Pink Flamingos	John Waters
=211	Twin Peaks: Fire Walk with Me	David Lynch
=211	Twenty Years Later	Eduardo Coutinho
=211	Melancholia	Lars von Trier
=211	Army of Shadows	Jean-Pierre Melville
=211	The Deer Hunter	Michael Cimino
=211	In a Lonely Place	Nicholas Ray
=211	Suspiria	Dario Argento
=211	Brief Encounter	David Lean
