# slug: bfi-american-noirs-10
# name: BFI: American Film Noir
# curator: BFI
# published: 2014
# source: https://www.bfi.org.uk/lists/10-great-american-film-noirs
# ordered: false
1	Double Indemnity	Billy Wilder
2	Laura	Otto Preminger
3	The Big Sleep	Howard Hawks
4	Gilda	Charles Vidor
5	Out of the Past	Jacques Tourneur
6	The Reckless Moment	Max Ophuls
7	In a Lonely Place	Nicholas Ray
8	Pickup on South Street	Samuel Fuller
9	Kiss Me Deadly	Robert Aldrich
10	Touch of Evil	Orson Welles
